iter	RMSE
0	11.15205871
1	11.03689195
2	10.94732065
3	10.84994143
4	10.75633631
5	10.68504481
6	10.56643428
7	10.49122834
8	10.41575922
9	10.34132982
10	10.20429365
11	10.10260128
12	10.04007558
13	9.975307831
14	9.917508278
15	9.864601807
16	9.782335111
17	9.770422067
18	9.730734823
19	9.678667509
20	9.632930502
21	9.585454161
22	9.530451528
23	9.492997022
24	9.45388738
25	9.376984787
26	9.3392508
27	9.315529104
28	9.285073894
29	9.246421772
30	9.236190602
31	9.214615626
32	9.176895223
33	9.136119747
34	9.116035188
35	9.101518822
36	9.06748459
37	9.057828616
38	9.019093254
39	9.007260409
40	8.984216782
41	8.974887213
42	8.951888439
43	8.933232021
44	8.86407024
45	8.82557928
46	8.812742625
47	8.791611527
48	8.782953187
49	8.761665571
50	8.751729085
51	8.734974147
52	8.728892161
53	8.681741901
54	8.651767486
55	8.635412126
56	8.620970784
57	8.603460919
58	8.594975932
59	8.584054671
60	8.574875236
61	8.553468655
62	8.535757332
63	8.514519551
64	8.499352603
65	8.487630308
66	8.473436712
67	8.461056209
68	8.455751674
69	8.444651981
70	8.421402359
71	8.418045877
72	8.409185975
73	8.40188197
74	8.380157157
75	8.371116801
76	8.358781993
77	8.344560782
78	8.333602033
79	8.317926635
80	8.313702924
81	8.28726554
82	8.281591017
83	8.272148531
84	8.259721149
85	8.251750952
86	8.237100799
87	8.216626374
88	8.199877913
89	8.183319909
90	8.176922516
91	8.151035639
92	8.142513444
93	8.129554297
94	8.108242903
95	8.095339618
96	8.081216725
97	8.054850487
98	8.04392331
99	8.030524161
100	8.009131078
101	8.000375247
102	7.987598394
103	7.961812023
104	7.943317612
105	7.925487199
106	7.906719106
107	7.895520655
108	7.882288735
109	7.865925626
110	7.845616024
111	7.823850062
112	7.809454028
113	7.779828246
114	7.771295133
115	7.749936232
116	7.737022946
117	7.722085176
118	7.699000201
119	7.677838703
120	7.667737819
121	7.654101287
122	7.644381001
123	7.633953267
124	7.612838483
125	7.598581801
126	7.575925524
127	7.556360954
128	7.549114959
129	7.531251661
130	7.51628416
131	7.493255582
132	7.484763491
133	7.472555564
134	7.462044768
135	7.446840534
136	7.438928408
137	7.417163765
138	7.401977785
139	7.383355867
140	7.366760505
141	7.343945627
142	7.328886362
143	7.311176557
144	7.29009677
145	7.274160089
146	7.260283908
147	7.251726744
148	7.244473053
149	7.230957546
150	7.21233887
151	7.208516398
152	7.194912745
153	7.185172415
154	7.162760741
155	7.154875953
156	7.133147693
157	7.127461562
158	7.117464187
159	7.092252859
160	7.084453151
161	7.074160099
162	7.054265067
163	7.040486686
164	7.0350607
165	7.0301732
166	7.012009232
167	7.001402736
168	6.984457359
169	6.968204732
170	6.959465868
171	6.939956458
172	6.915711429
173	6.911195363
174	6.896058159
175	6.888215849
176	6.880556334
177	6.864841416
178	6.851382965
179	6.843005873
180	6.833020355
181	6.829999692
182	6.825101813
183	6.820374432
184	6.812468255
185	6.800112097
186	6.78461016
187	6.766653359
188	6.764182357
189	6.749708314
190	6.736808504
191	6.72707435
192	6.72471747
193	6.709582543
194	6.695779237
195	6.692474256
196	6.674248203
197	6.667545963
198	6.659243257
199	6.652373177
200	6.646689544
201	6.638697351
202	6.628624308
203	6.619934591
204	6.615357008
205	6.603794449
206	6.601992059
207	6.582990388
208	6.565369632
209	6.546692855
210	6.543588379
211	6.52372101
212	6.521464169
213	6.513907799
214	6.506608796
215	6.497924488
216	6.485278427
217	6.477400862
218	6.471415749
219	6.46233578
220	6.460546031
221	6.449665206
222	6.437058057
223	6.419509201
224	6.404319309
225	6.399055132
226	6.394234765
227	6.391990677
228	6.379353194
229	6.371558492
230	6.363239724
231	6.351064326
232	6.338313854
233	6.325392088
234	6.320585619
235	6.305097824
236	6.30258143
237	6.295577922
238	6.281243849
239	6.273259881
240	6.268754215
241	6.259396309
242	6.251956297
243	6.248975413
244	6.241760294
245	6.234297824
246	6.221846632
247	6.214623999
248	6.205537372
249	6.203593373
250	6.195533042
251	6.184910217
252	6.177465678
253	6.168632527
254	6.159475507
255	6.156124024
256	6.141286513
257	6.131379099
258	6.124261103
259	6.117719525
260	6.107649805
261	6.103284634
262	6.095005882
263	6.093254328
264	6.089305359
265	6.08008889
266	6.070198641
267	6.061107559
268	6.049979358
269	6.041195753
270	6.033808789
271	6.02648121
272	6.025872273
273	6.016521081
274	6.008115994
275	6.007497562
276	6.004402153
277	5.997860745
278	5.988427476
279	5.980035098
280	5.970941964
281	5.961936279
282	5.95398675
283	5.948483791
284	5.943348911
