iter	RMSE
0	10.95416381
1	10.75074352
2	10.56317091
3	10.39093175
4	10.234503
5	10.09294493
6	9.96154843
7	9.839216471
8	9.728208103
9	9.633281421
10	9.538610602
11	9.448210845
12	9.371564958
13	9.285455404
14	9.220396863
15	9.145583599
16	9.077196618
17	9.015192435
18	8.962551058
19	8.907040669
20	8.848865397
21	8.802327151
22	8.742088221
23	8.694281124
24	8.633426491
25	8.599381159
26	8.54972745
27	8.516666036
28	8.476749181
29	8.436072839
30	8.407568565
31	8.368058351
32	8.343854651
33	8.311245583
34	8.272218021
35	8.251818546
36	8.219772064
37	8.202151727
38	8.174756365
39	8.143583088
40	8.119889298
41	8.091179278
42	8.067135596
43	8.041170892
44	8.020804007
45	7.996059687
46	7.975279394
47	7.952259379
48	7.932029409
49	7.914022479
50	7.889534695
51	7.870144723
52	7.846348728
53	7.828602446
54	7.818527836
55	7.800969731
56	7.777904579
57	7.761805057
58	7.744154946
59	7.731003534
60	7.712425631
61	7.697432837
62	7.68020892
63	7.664026099
64	7.647347483
65	7.640692184
66	7.628257819
67	7.614784649
68	7.599682309
69	7.581868131
70	7.563710128
71	7.549916557
72	7.54359548
73	7.526272292
74	7.510868986
75	7.499857171
76	7.487934874
77	7.476761048
78	7.464944021
79	7.457574149
80	7.44974291
81	7.430214208
82	7.419526253
83	7.403325936
84	7.395728981
85	7.38821191
86	7.380558995
87	7.372777525
88	7.361754521
89	7.354199166
90	7.34586843
91	7.342232921
92	7.334155483
93	7.325292037
94	7.319522716
95	7.310077791
96	7.299391497
97	7.295153927
98	7.286410904
99	7.282302369
100	7.265827122
101	7.261359127
102	7.252535022
103	7.246561507
104	7.236772566
105	7.232181304
106	7.211604012
107	7.199843237
108	7.190001666
109	7.181963687
110	7.177287777
111	7.16631825
112	7.16185875
113	7.15811369
114	7.143080314
115	7.127950668
116	7.117046741
117	7.113306305
118	7.102022147
119	7.088968964
120	7.080154448
121	7.068334236
122	7.05597101
123	7.044476856
124	7.040196953
125	7.027181322
126	7.013625778
127	7.007756385
128	6.996450297
129	6.986106056
130	6.979542125
131	6.975879211
132	6.970993467
133	6.96715709
134	6.952794563
135	6.94753776
136	6.941495286
137	6.939306973
138	6.928351221
139	6.923082522
140	6.912773453
141	6.899104815
142	6.889601251
143	6.888435092
144	6.881192568
145	6.878385448
146	6.874047324
147	6.866295447
148	6.863324933
149	6.862287679
150	6.85643262
151	6.846141804
152	6.835859156
153	6.829023505
154	6.823197481
155	6.817229825
156	6.81106978
157	6.807792819
158	6.802474763
159	6.799673798
160	6.788301188
161	6.77787016
162	6.776468433
163	6.768917833
164	6.756925645
165	6.745793192
166	6.740646018
167	6.737279562
168	6.730466684
169	6.72372264
170	6.718097084
171	6.714343823
172	6.709031318
173	6.701892065
174	6.691290065
175	6.686460711
176	6.677842981
177	6.673149883
178	6.665442726
179	6.662054819
180	6.65389769
181	6.644769846
182	6.634625349
183	6.632832768
184	6.627284421
185	6.621935912
186	6.614093213
187	6.608375927
188	6.600364013
189	6.590750015
190	6.586756527
191	6.585329752
192	6.581836136
193	6.576930516
194	6.575215647
195	6.568030945
196	6.563553156
197	6.556232748
198	6.550925631
199	6.545773005
200	6.54360763
201	6.538789934
202	6.529989199
203	6.521111467
204	6.519692264
205	6.514810236
206	6.5107184
207	6.506586392
208	6.501492615
209	6.496925217
210	6.493769478
211	6.493271102
212	6.491912608
213	6.485604299
214	6.482756297
215	6.476223328
216	6.471317848
217	6.463236828
218	6.456280491
219	6.450933257
220	6.448890336
221	6.441325152
222	6.435537044
223	6.431767207
224	6.42767576
225	6.426179392
226	6.422661012
227	6.420857668
228	6.419596335
229	6.413922162
230	6.405117469
231	6.402155467
232	6.395050762
233	6.389633005
234	6.382451075
235	6.377386518
236	6.372038813
237	6.368924447
238	6.362874965
239	6.360210039
240	6.351706688
241	6.350977145
242	6.348710178
243	6.344426246
244	6.335847116
245	6.324646809
246	6.321104102
247	6.313241322
248	6.304632189
249	6.30154641
250	6.298094856
251	6.291805844
252	6.288548836
253	6.284060924
254	6.282874475
255	6.280460137
256	6.274348284
257	6.271065817
258	6.268601122
259	6.264287351
260	6.263673834
261	6.260155812
262	6.254439161
263	6.247039321
264	6.244648377
265	6.240052311
266	6.235530748
