iter	Passed	Remaining
0	45	45143
1	91	45419
2	133	44413
3	180	44827
4	228	45435
5	276	45787
6	301	42728
7	344	42741
8	400	44047
9	449	44532
10	490	44127
11	531	43758
12	571	43361
13	610	42968
14	648	42577
15	687	42253
16	725	41965
17	745	40686
18	798	41247
19	838	41097
20	879	40980
21	931	41400
22	967	41118
23	1007	40980
24	1053	41094
25	1097	41115
26	1145	41276
27	1194	41451
28	1235	41362
29	1278	41336
30	1326	41449
31	1363	41253
32	1404	41144
33	1442	40975
34	1480	40817
35	1519	40693
36	1559	40596
37	1599	40500
38	1640	40415
39	1680	40338
40	1722	40287
41	1764	40252
42	1805	40175
43	1845	40103
44	1885	40011
45	1925	39925
46	1963	39818
47	2002	39721
48	2047	39746
49	2085	39625
50	2124	39529
51	2164	39460
52	2204	39394
53	2245	39337
54	2286	39283
55	2327	39227
56	2373	39273
57	2417	39271
58	2464	39298
59	2507	39280
60	2551	39274
61	2597	39297
62	2642	39301
63	2687	39300
64	2728	39244
65	2771	39217
66	2812	39169
67	2865	39269
68	2912	39295
69	2950	39202
70	2989	39118
71	3031	39076
72	3078	39093
73	3127	39136
74	3173	39140
75	3219	39142
76	3262	39106
77	3304	39064
78	3345	38998
79	3386	38941
80	3425	38862
81	3465	38801
82	3514	38830
83	3563	38856
84	3618	38954
85	3667	38978
86	3712	38961
87	3773	39108
88	3831	39219
89	3874	39174
90	3914	39100
91	3957	39059
92	4006	39075
93	4059	39126
94	4110	39157
95	4160	39178
96	4209	39184
97	4258	39191
98	4307	39205
99	4359	39232
100	4402	39183
101	4446	39150
102	4487	39080
103	4527	39007
104	4568	38939
105	4607	38857
106	4646	38775
107	4684	38694
108	4725	38628
109	4775	38637
110	4816	38573
111	4857	38513
112	4900	38465
113	4939	38391
114	4980	38331
